"ID","medv"
3,34.94643
6,27.5777633333333
8,16.8633519047619
9,16.1392385714286
10,18.5127533333333
18,18.8345803030303
20,20.0980336363636
25,16.3016994300144
26,16.7029141125541
27,18.0715172077922
29,18.1576708585859
30,20.2525724458875
33,16.2470329220779
34,14.7164253823954
36,22.4176933333334
37,22.1477433333333
38,22.58971
42,29.10614
49,17.5380752380953
53,25.3635933333333
60,21.5409
63,23.58772
70,21.6195333333333
72,22.1141766666667
79,21.28616
80,21.7572966666667
83,23.8911233333333
92,23.4619333333334
93,23.5866266666667
96,27.44537
98,40.66073
99,40.72593
100,32.1321066666667
105,19.85429
106,18.1274655555556
111,20.9687466666666
113,18.7851466666667
114,17.8795233333333
116,19.3486233333333
126,19.8300933333333
130,16.2821833333333
131,18.8685838095238
133,19.56017
136,17.1070342857143
141,15.580400952381
144,14.6307963247863
145,15.5565201343102
147,16.1595633333333
152,19.7938842857143
153,21.1241066666667
156,18.1407474358974
158,32.3896155555555
163,47.2436633333334
169,21.3962322222222
185,24.9210085714286
186,26.2271085714286
189,30.2030266666666
196,44.3439533333334
197,35.24294
199,32.02258
200,32.3369166666666
203,41.5602266666667
208,20.1626823809524
210,18.2573119047619
211,19.8939452380953
213,21.841929047619
216,24.3483333333333
218,23.28195
219,18.9490566666667
220,21.9946255555556
221,28.34251
229,42.1550833333333
232,35.9108933333334
238,35.6149533333334
239,24.4105766666666
240,25.52919
242,21.33549
246,18.84524
248,21.3928333333333
253,32.20334
255,23.4889066666667
256,21.7697466666667
257,39.8616266666667
258,43.6448333333333
259,34.9794952380952
260,31.7152388888889
268,41.26583
270,22.0040666666667
271,21.4115952380952
276,31.6492633333333
277,33.4182366666667
278,31.6708166666666
279,25.14554
281,45.2890566666667
288,23.3605833333333
290,24.29999
292,34.20525
295,21.7620333333333
296,26.3079366666667
299,27.0275033333333
300,33.6947066666667
301,29.5134066666667
308,30.219
314,22.0553333333333
315,23.2290633333333
320,21.10509
322,24.17132
323,23.26796
324,20.70004
327,24.4412266666667
330,23.2251766666666
332,20.31071
333,22.8703866666666
336,20.4491119047619
338,20.0345652380952
346,21.0545733333333
347,20.17296
351,23.9039766666667
352,25.88324
354,31.8511033333333
355,21.46928
356,23.1504466666667
362,20.587277211367
364,19.5988134234882
365,35.5902725108225
370,39.0572954022988
376,24.5575147240308
379,12.6046656361114
380,12.5203934632842
381,17.544717420555
382,11.9095738319798
386,9.36190088123703
389,9.22065277101392
391,15.0888150549179
394,14.5424980914402
396,13.1594041555687
398,12.5563346395337
400,10.2147361352539
403,10.0793285103683
405,10.5635062110115
406,10.4382709464496
407,19.3004115058235
410,15.6597764643659
411,22.3021463528516
412,13.4737931683809
413,12.5173385619785
417,10.1405832840328
421,15.5451703135426
422,15.9652323478159
423,19.5824623173807
424,14.4701983841269
427,15.7237466553466
431,14.9988725690373
436,12.4977390782662
437,13.0805222691471
439,9.76849086444971
447,16.0100643022649
450,15.3840180192669
451,15.1123665260938
455,13.5953799682219
457,15.8806478173025
471,18.7190670689655
474,25.5164287356322
476,15.4252654006403
483,29.7609220689655
486,21.3342587356322
490,13.05881
495,20.3711366666666
496,19.2862266666667
497,18.0930733333333
499,20.3671933333333
501,19.5008461904762
505,24.1316066666666
